word,translation
Härte,严厉，无情
Hauptfigur,主要人物
Hauptrolle,主角，中心人物
hauptsächlich,最重要的，首要的；主要，特别，首要
Hauptthema,主体
Hauptwerk,代表作
Hausarzt,家庭医生
Hausrat,家用器具
Hausverbot,禁令
Hausverwaltung,物业管理，房管处
Hautcreme,护肤油
heben,举起，抬高；提高，增强，改善；升高，上升，上涨
heimisch,故乡的，家乡的；本地的，国内的；熟悉的，习惯的
heiter,快活的，开朗的；晴朗的，明朗的
hektisch,急忙的，慌乱的；忙碌的；顽固的，不易治愈的
Helferin,助理
Helfer,助手，帮手
hemmen,阻止，阻碍，妨碍
heranführen,把...带领过来；引导...学习；引向，延伸到
Herausforderung,挑战
herstellen,制造，生产；把......放到此处；建立，确立
herumschlagen,把......包起来
hervorragend,突出的，出色的，卓越的；重大的，显著的
Herz,心，心脏
Herzenswunsch,心愿
Herzfrequenz,心率
Herzinfarkt,心肌梗塞
Herzproblem,心脏问题
Hieroglyphe,象形文字
hierzulande,此地，本地，在我们这里
Highlight,突出
hilfreich,有益的；乐于助人的，愿意帮助人的
Hilfsbereitschaft,乐于助人
Hilfsorganisation,援助组织，慈善机构，救济机构
Himmel,天，天空
hinausdragen,把......抬（或搬）出去；把......传播出去
hinauszögern,推迟
hinhören,倾听，注意听
hinnehmen,接纳，接受；忍受，容忍；当做，看做
hinsehen,看过去，望过去
hinterherhinken,落后
Hinterhof,后院
hinterlassen,留下，遗留
Hinweis,指示，提示
Hirn,脑，大脑，脑力
hitzig,激烈的，热烈的；暴躁的，性急的
Hoch,高的；高度的，高等级的；高水平的，高质量的；高贵的，崇高的
Hochschulreife,具有上高等院校的资格
Hochtechnologie,高科技
hofieren,向...献媚，向...献殷勤
Höflichkeit,客气话；礼貌，客气
Höhepunkt,高潮；顶点，高峰
holen,接来，请来；取来，拿来；得到，获得；买
Holzplatte,木板
Hommage,致敬
Horizont,新的机会；视野，眼界，见识
Hörspiel,广播剧
Hosentasche,裤袋，裤子口袋
Hundehütte,狗窝，狗舍
Ich-Erzähler,第一人称叙述者
Identität,同一性，一致；相等，相同；身份
Idiot,笨蛋，傻瓜，白痴
ignorieren,忽视，无视，疏忽，置之不理，不理解
immerwährend,永久的，不断的，持续的
Immobilie,不动产，地产
Immunsystem,免疫系统
importieren,进口，输入；（从......）进口货物
imposant,壮观的，庄严的，雄伟的；相貌堂堂的，仪表堂堂的
Inbegriff,典范；化身；象征；集中体现
infolge,因为，由于
Informant,告密者
Informationsbeschaffung,信息收集
Informationsmaterial,信息材料
informativ,启发性的，有启发的，提供信息的，有教益的
infrage,进入考虑范围；怀疑地，探究地，有疑问地
inhaltlich,内容的，内容方面的，关于内容的；从内容上来说，就内容而言
inhaltsleer,内容空洞的
Initiative,发起，倡议；首创精神，进取心，主动权
initiieren,开始
immitten,在......中间，在......当中；在中间
Innenarchitektur,室内设计
Innovation,革新，改革
insbesondere,特别，格外，尤其
Inspiration,灵感；[医]吸入，吸气
instinktiv,本能的，天性的，凭直觉的
intakt,完整无缺的，完好无损的；功能正常的；和谐的，完满的
intellektuell,知识的，善于思考的，智力的，有才智的；明智的，智慧的
Intellektuelle,知识分子
Interagieren,相互影响
Internetportal,互联网门户网站
intolerant,不能容忍的，不能宽容的，偏执的
investieren,投资，向...投入；花费，投入
Investition,支出
irreal,虚幻的；不真实的，非现实的
irren,弄错，搞错，误会，误解；迷路；瞎跑
Isolation,绝缘，绝热；孤立；隔离
jedoch,可是，然而，但是；但是，然而
jeglich,每个
jetzig,现在的，现今的，当前的，目前的
jeweilig,当时的；各自的
Jugendzeit,青年时代
Jura,法律，法律学
Jurist,法学家，法律家；法律工作者
Juweliergeschäft,珠宝生意
Kabarett,卡巴莱剧团；演出讽刺短剧的小型剧场；卡巴莱剧场
Kabarettist,小型歌舞演员
Kader,主力
Kaffeehaus,咖啡馆
Käfig,笼子
kahl,无发的，秃顶的；空洞洞的，没有装饰的；光秃秃的，裸露的，寸草不长的
Kaiserin,女皇;皇后
Kaiser,皇帝
kaiserlich,皇帝的；皇家的，皇室的
Kalkulation,估计，考虑；估算，核算
Kalorie,卡路里，卡
Kamm,梳子
Kampagne,出征，讨伐；大忙季节；宣传战，运动
Kämpferin,战斗机
Kämpfer,运动员；斗士；奋斗者；拱墩，拱座石；战士，士兵
Kampfkunst,武术
Kampfsport,对抗性体育运动
Kandidatin,女候选人，女考生
Kandidat,候选人；候补者
Kanzler,德国等国的）总理；（大学的）教务长
Kanzlerkandidat,总理候选人
Kartoffelsuppe,土豆汤
katapultieren,投石。抛石。发射
katholisch,天主教的
Kaufvertrag,购货合同
Kaution,保释金
Kenntnis,了解，知道
kennzeichnen,标明，标出，给做记号
kentern,倾覆；反向移动
Kickboxen,跆拳道
Kiefer,松树；松木；颧，颧骨
Kindererziehung,育儿，儿童教育
kinderfeindlich,对孩子成长不利的；敌视孩子的
kinderleicht,很简单的
kinderreich,多子女的
Kinderwunsch,生育能力
klagen,抱怨，责怪，不满；为……悲叹或悲伤；起诉，控告；诉苦，诉说
Klammer,括号；夹子，钳子；回形针，钉书针
Klang,音乐，乐声；音调，声调
klären,使清楚，使明白；净化，澄清；（天气）转晴，晴朗；弄明白，变清楚；变清，滤清
klarmachen,阐明，说明，弄清楚
Klassenbeste,优等生，班里成绩最好的学生
klatschen,拍打，发出啪啦声；鼓掌，拍手；说他人闲话；向……鼓掌
klauen,偷，窃，偷窃
Kleiderschrank,衣服，衣柜
Kleidungsstück,衣服，衣裳
Kleinkind,（三至六岁的）小孩；婴儿
Klick,点击
Klimazone,气候
Klischee,陈词滥调，老一套；陈腐思想；成见，偏见
klischeehaft,老套
Knecht,奴仆，仆人；雇工，雇农
knirschen,牙齿摩擦的嘎吱声
Knospe,蓓蕾，萌芽
knüpfen,连结，连接，系上；编结，编织
knurren,（狗等）发咕噜声；发牢骚，（不满时）咕哝
Koalition,联盟，联合
komfortabel,舒适的
Komma,小数点
kommen,来；来到，到达；临近，来临；想起，冒出；发生；获得，得到，取得；实现，完成；失去，丧失；来自，源自；导致，致使
kommentieren,注释，评注；评论，评述；发表看法
kommerziell,商业的，商务的，贸易的
Kommilitone,同学，校友
Kommilitonin,同学
Kommissar,全权代表，专员，特派员
Kommunikationsfähigkeit,沟通技巧
Kommunikationsmittel,通讯手段，通讯方式
kommunizieren,交际，交往；通知，传达
Kompetenz,权限，职权范围
komplex,复杂的，错综复杂的；综合性的，广泛的
Kompliment,恭维，奉承，客套
Komplize,同谋，共犯，帮凶
Komponist,作曲家
Konferenz,会议，协商会
konfiszieren,没收
Konfliktlösung,冲突解决方案
konfrontieren,使面对，使面临，使正视；使对质，使对证；对照，对比
Kongress,国会；代表大会
konkret,具体的；实际的，实在的；有形的
Konkurrenz,竞争，竞赛
konkurrenzfähig,有竞争能力的
Konsens,同意，意见一致
konstant,不变的，固定的，稳定的，恒定的；连续的，不间断的
konstruktiv,设计的；建设性的
Konsument,消费者，顾客
Kontakt,接触；联系
Kontaktlinse,隐形眼镜
Kontext,上下文，前后关系
kontinuierlich,连续的，持续的，不间断的
Kontodaten,帐户资料
Kontrollsystem,控制系统
Konzentration,浓缩，浓度；集中，集结；专心，全神贯注
konzentriert,专注的，全神贯注的
Konzept,计划，纲领
Konzeption,怀孕；方案；设想，计划，受胎
konzipieren,构想；起草；设计
kooperativ,合作的，协作的，协同工作的
Koordination,协调
Körpersprache,身体语言
Körpertemperatur,体温
Korrektur,校对，校勘；修正，改正
Corruption,腐败，堕落
kostengünstig,成本低的
Kraftstoff,发动机燃料
Kraftwerk,发电厂，发电站
Krankenhausaufenthalt,住院
Krankenkasse,医疗保险公司
Kreditkarte,信用卡
kreieren,创造。创作。设计。发明。制作
Krieger,武士；士兵，战士
kriminell,犯法的，犯罪的，刑事罪的；会出事的，不负责的
Kriterium,标准，规范，准则
Kritik,评论界，批评界
Kritikfähigkeit,批判能力
Kühlfahrzeug,冷藏车
Kühlraum,冷藏室，冷冻室，冷却室
Kühlsystem,冷却系统
Kulturdenkmal,文物，古建筑
Kundenkontakt,客户联系
Kunstturnen,体操
Kunstwerk,艺术品
kurios,奇特的；奇怪的，稀奇古怪的
kursiv,[印]斜的，斜体的
kurzfristig,短期的；临时的，突变的
Kurzvortrag,简短的讲座
Label,标签
Lächeln,微笑；取笑
Lage,形势，处境，状况；能力
Lager,仓库，阵营，宿营地
Lagerhaltung,仓库管理
Landessprache,一个国家的语言，国语；方言，本地话，土语
Längeneinheit,长度单位；取出；递给
längerfristig,较长期的，较长久的
Langeweile,无聊，厌烦
langfristig,长期的，长远的，长期有效的
Langlauf,长度离滑雪，越野滑雪
langlebig,长寿的，长命的；耐用的
langwierig,棘手的，费时的，费力的
Langzeitarbeitslose,长期失业者
Last,负担，累赘，劳累
lästig,讨厌的，累赘的，令人厌恶的，麻烦的
Lauf,跑，进程，过程
Laufbahn,事业进程，生活，经历；跑道
laufen,走，走路，行走；跑，跑步，奔跑；运行，运转；经过，进行，进展；放映，播放；有效，生效
Lautstärke,音量，音强
Leben,生活，度日；以……为生；生存，活着；生活在，居住
lebendig,活泼的，有生命的，生龙活虎的；活的，还活着的，活生生的
Lebensbedingung,生活条件，生存条件
Lebenserwartung,人均寿命
Lebensjahr,年龄，岁数，年岁
Lebenskunst,生活艺术
Lebenslage,生活境况；生活情况，生活处境
Lebensraum,生活圈；领土；生存范围，生存空间
Lebensweg,生活道路，人生道路，生涯
leeren,倒空，腾空，卸空
Lehrkraft,师资，师资力量，教学力量
leichtfallen,感到容易
Leinwand,油画布；亚麻布；银幕
Leistungsbereitschaft,动机
Leistungsfähigkeit,有效功率，效率；容量；生产能力；工作能力
Leiterin,女领导者
Leiter,梯子；导体；领导人，负责人，主管人
Lektüre,阅读；读物，阅读材料
lenken,驾驶，操纵，控制；驾驭，左右，导向，引导，引向
Lernerfolg,学习成果
Lerninhalt,学习内容
Lernmaterial,学习材料
Lernstoff,学习内容，学习材料，题材
lesefreundlich,易读的，好读的
Leserbrief,读者来信
leuchten,发光，闪光，发亮，照亮
lexikalisch,词汇的；辞典的
Liberalität,自由思想；豁达，宽宏，慷慨
Lichtsensor,光敏器件
liebevoll,亲切的；体贴的，关爱的，有爱心的
Liebling,宠儿，红人；亲爱的
Lieferzeit,交货时间
liegen,躺，躺着，卧，平卧；位于，处于；放在，平放；原因在于；适合于；取决于；由……负责
Liegestütz,俯卧撑
Lifestyle,生活方式
limitiert,有限
lindern,减轻，减缓，缓和，缓解
Linie,交通线，线路，航线；行，排
Lippe,嘴唇
Liste,表，目录，清单
Lob,称赞，赞扬，表扬，赞赏
locken,引诱，吸引，招引；卷发，烫发；器皿，卷起来
logisch,逻辑的，合乎逻辑的；自然的，合乎情理的，理所当然的
Lokführer,火车司机
Lösegeld,赎金
lösen,解决，解答；消除，清洗；购买（票、卷等）；溶解，溶化；摆脱，脱离；脱落，掉落；解开，分开，松开，使松弛；溶解，溶化
Lügengeschichte,鬼话
lukrativ,有利可图的，合算的
Lungenkrankheit,肺病
Lyrik,抒情诗
Macht,力量
machtlos,无权的，弱小的
Machtwecksel,权力更迭
Macke,毛病，瑕疵，损坏；怪癖，古怪
Magd,女佣，女仆
Magen,胃
mahlen,磨碎，碾磨；打滑
Malerei,画，绘画；绘画艺术
Management,管理层；管理，经营
mangelnd,不足
manipulieren,影响，操纵，摆布；巧妙地处理
Manufaktur,手工制造
Markt,集市，市场
Maß,一升啤酒；量得的大小，数值
Massenflucht,大逃亡
Massenprotest,大规模抗议
maßgeblich,决定性的，权威的
mathematisch,数学的，数理的
Mauerritze,裂缝在墙上
mechanical,力学的；机械学的；机械的，机器的
meckern,（羊）呼叫；抱怨，发牢骚
Mediziner,医生；医科大学生
Meerestiefe,海深
Meerestier,海洋动物
mehrheitlich,多数的，过半数的
Mehrsprachigkeit,多种语言
meiden,避免，避开，躲避
meinetwegen,为我的缘故；就我而言
Meinungsfreiheit,言论自由
Meisterschüler,硕士生
Melancholie,忧郁；忧伤，伤感
melancholisch,忧郁的，忧伤的，伤感的
Melodram,情景剧
Menschenleben,人生，一辈子
Menschheit,人类
Merkmal,标志，标记，特征
Messegelände,展览会场馆，博览会场地
Messehalle,展览厅，博览会展览厅
Messgerät,测量仪；标准尺寸
Mietvertrag,租约，租赁合同
Milchprodukt,奶品
Milieu,妓女界；环境
Militarisierung,军国主义化
Mimik,表情
Ministerpräsident,总理，首相，部长会议主席；州总理
Mischung,混合；混合物；大众烃，混杂
Misserfolg,失败，不成功
missverständlich,误解的，误会的
missverstehen,听错；误解，误会
Mist,废物，破烂；废话，胡扯
Mitarbeit,合作；共事，协作
mitbestimmen,参与决定
Mitbewohner,同居，室友
Mitinhaber,合伙人
Mitleid,同情
Mitschülerin,同学
Mitschüler,同学；同窗
Mittagspause,午休
Mittagsschlaf,午睡
Mittagsschläfchen,觉
Mittelalter,中世纪
mittelalterlich,中世纪的
Mitternacht,半夜，午夜
mittlerweile,在这期间；其间，当时，这中间
mitverantwortlich,共同负责的，一起承担责任的
Mobilitankanbieter,支架
Mobilität,流动性
Mode,时髦，风气
Moderatorin,女主持人
Moderator,节目主持人
monolingual,单语的，一种语言的
Monotonic,单调，无聊；单音
Motiv,主题；动机，缘由
motiviert,积极的，有动力的，有积极性的，有动机的
Motto,格言，魔言，座右铭；口号
Mücke,蚊子
Mühe,辛苦，费力，费心
multikulturell,多元文化的，文化交叉的
Murmeltier,土拨鼠，旱獭
Musikant,乐师，音乐家
Muster,样品，货样；式样，样式
Muttersprachler,说母语音
mythologisch,神话的，神话学的
Mythos,传奇，传说；神话
nachdenklich,沉思的，考虑的，深思熟虑的
Nachfrage,询问，探问
nachgehen,跟踪；调查；走得慢
nachhaken,追问，一再询问
Nachhilfestunde,补习课，辅导课
Nachmiefer,房客，续租客
Nacheule,夜猫子，喜欢熬夜的人
nachweisen,证实，证明；指示，指明；介绍，推荐
Nachwuchs,新生力量，后继者，接班人；孩子，后代
Nachwuchskraft,后生力量
Nagel,指甲
nagen,咬，啃；折磨；腐蚀
nahegelegen,附近
Näherin,女裁缝；缝纫女工
Näher,进一步的，更详细的，更接近的
Naht,线缝；接缝
Nation,国家；民族
Nationalfeiertag,国庆节
Nationalität,民族，族；国籍
Nationalmannschaft,国家队
Nationalsozialismus,国家社会主义，纳粹主义
Nationalsozialist,纳粹党党员
Naturerscheinung,自然现象
Naturkatastrophe,自然灾害
naturwissenschaftlich,自然科学的
Nebenjob,打工
nehmen,取，拿，拿起；接受；获得；收取，索取；认为，当成；对待；吃，吞，服
Neid,嫉妒，妒忌；羡慕
Nerv,神经；精神状态，心境
nerven,使人厌烦，使人烦躁，使人受不了
Nervenkitzel,危险或紧张带来的刺激
Nervenzelle,神经细胞
Nervosität,紧张烦躁，紧张不安；神经质；易激动
netterweise,友好地
Neuerung,革新，改革，创新
Neugier,好奇，好奇心
Neukundengewinnung,获取新客户
neulich,不久前，最近
Neutralität,不偏袒；中立，中立地位
Nichtschwimmer,不会游泳的人，旱鸭子
nichtssagend,毫无意义的，无足轻重的
Nickerchen,打盹，小睡
Niederlage,失败
nieseln,下毛毛雨
Nobelpreis,诺贝尔奖金
Nobelpreisträger,诺贝尔奖获得者
Nonsens,荒谬，胡说
nonverbal,不使用语言的，非语言的
Notizblock,便条本
Notlage,困境，危境
Notlüge,迫不得已撒的谎，善意的谎话
Notruf,紧急呼救
Notversorgung,紧急补给（药物、饮用水等）
Notwendigkeit,必要性
Nummer,号码，数字
nützlich,有用的，有利的，有益的
Oberarm,上臂
Oberbegriff,大概念，总括的概念，总称
obgleich,虽然，尽管
obligatorisch,强制的，有义务的；必修的，必要的
Odyssee,历险漂泊
Offenheit,真诚，坦率
Öffentlichkeit,公开；公众，社会，群众
Öffnung,裂缝，缝隙；开口；打开；开放
oftmals,时常，常常，多次
ohnehin,反正，总归
Ökologe,生态学家
Oldtimer,老人，元老，老汽车
Olivenöl,橄榄油
Onlinebanking,网上银行
Optiker,眼镜店验光技师；光学仪器制造者；光学仪器商
optimieren,优化；使最佳化
Option,选择；选择权
Orden,教团；勋章
Organ,机关报；机关，机构
Organisation,组织，团体，机构；组织
Organismus,组织，机构；有机体，生物体
Orientierung,了解；定向，定位；指示，导向；方向，方位
Pädagoge,教育学家；教师
Pädagogin,教育家
Palast,宫殿
Panik,恐慌，惊慌
Parallelwelt,平行世界
Parlament,议会大厦，国会大厦；议会，国会
parodieren,滑稽地模仿
Partei,一方，当事人；派，派别
Parteivorsitz,党主席
Parteivorsitzende,党主席
Partie,部分，局部
Partylöwe,派对之王
passioniert,热情的，热烈的，着迷的
Passwort,密码；口令，暗号，暗语
Pate,教父
Patin,教导
Patent,专利，专利权；委任状
pauschalisieren,一概而论，一般化
Pazifismus,和平主义
peinlich,尴尬的，使人不好意思的，难堪的；痛苦的，难受的；非常认真的，一丝不苟的
perfektionieren,使完美无缺
Pessimismus,悲观，悲观主义，厌世主义
pessimistisch,悲观的，悲观主义的
Pest,瘟疫；鼠疫
Pfeife,烟斗
Pfeil,箭头；箭，矢
Pflege,护理，照顾，照管，照料，照应
Pflichtveranstaltung,义务
Phänomen,（可感觉的）现象；奇特的现象，奇迹；现象
Phase,阶段，时期
Philosoph,哲学家
philosophisch,哲学的，哲学上的，富于哲理的
phrasieren,分句
physikalisch,物理的，物理学的
Physikerin,物理学家
Physiker,物理学家
Piktogramm,象形文字；指路牌，标识牌
Pipette,吸管，滴管
Plagen,折磨，使痛苦，使苦恼；辛苦操劳，苦干；受苦，受难
Planet,行星
Plastiktüte,塑料袋
platt,平的
Platte,盘子；唱片；盘菜，拼盘
Plutonium,杯
poetisch,诗意的，诗歌的，诗歌般的
Pokal,高脚杯；奖杯
Politikwissenschaft,政治学
Portemonnaie,钱包；钱袋
Position,位置，方位；地位
prägen,铸造，冲刷
Präsentation,展示，演示
preisen,表扬，赞扬，嘉奖
Preisvergleich,价格比较
Profil,侧面像，凸起条纹
Prognose,预测，估计
Projektleitung,项目管理
Projektmanagement,项目管理
prominent,知名的，卓越的，著名的
promovieren,获博士学位；授予...博士学位
Protestation,抗议
Prüfer,检验员；主考人
Prüfungsangst,怕考试；考试恐惧症
Psyche,心灵，灵魂，心理，精神
Psychologe,善于揣摩别人心理的人；心理学家
Psychologin,心理学家
publizieren,出版，发行；公告，公布
Puls,脉，脉博，脉搏数
Pulsschlag,脉动
Pumpe,泵，咽筒
qualifizieren,鉴定，评定；赋以资格，使有资格，使有能力；培养，提高技能；提高，提高水平，进修；具有技能或资格，取得资格
qualitativ,质的，质量的；定性的；品质上的，性质上的
Qualle,海量，水母
Querschnittslähmung,截瘫，下身麻痹
quietschen,发出（刺耳的）轧机声；尖叫，发出尖叫声
Quiz,智力竞赛，问答游戏
radioaktiv,放射性的，放射引起的
Rahmen,框架，范围，框子
Rand,边，边缘，边沿
randalieren,闹事，滋事
rasant,飞快的，迅速的，疾驰的
rastlos,不休息的，不知疲倦的；不安定的，繁忙的
Rat,建议，劝告，忠告，指点
Ratgebersendung,任务指南
ratsam,可取的，明智的，值得推荐的
Rätsel,谜语
Ratte,老鼠
Rauchen,抽烟，吸烟；冒烟；吸，吸烟
Raumtemperatur,室内温度；周围温度
Rauschen,发出游荡声；沙沙作响；（风）发出呼啸声
Reaktionszeit,反应时间
reaktivieren,使复职；再激活，使恢复
realisieren,使实现，使成为现实；认识，理解，意识到
Rechenschaft,说明，解释；辩解
Recherche,检索
rechnen,计算；视为，算做，认为；考虑在内；计算，估算；期望，指望，以求；考虑，估计
Rechnungsbetrag,帐单总额；发票金额
recht,法制，公理，天理，公正，正义，正当
Rechtschreibfehler,拼写错误；书写错误
Rechtswissenschaft,法律学
rechtzeitig,适时的，及时的，及早的
reformieren,改革，改良，改造
Refrain,副歌；口头禅
regelmäßig,有规则的，合乎规则的，按规律的
Regelung,规定，规章；调整，调控，控制
Regierungssprecher,政府发言人
Regisseurin,导演
Regisseur,导演
regulieren,调整，调节，校准
reichen,递给，传递，伸给；端上，送上；够到，伸至，达到；伸展，延伸；后，足够
reifen,成熟
rein,纯的，纯正的，纯净的；清洁的，洁净的；清楚的
Reinheit,清洁；纯净
Reiz,吸引力；魅力；诱惑力；刺激
Reklamation,投诉；索赔；退换
relevant,重要的，重大的，至关重要的
Rennen,索赔；奔跑，快跑，跑；冲撞，撞到
Rennpferd,赛马
Reporter,记者，通讯员
reproduzieren,再生产；复制，翻印；仿制
Republik,共和国，共和体制，共和政体
Resignation,听天由命；辞职
Respekt,尊敬，敬畏；怕，害怕
respektieren,尊重，尊敬，敬佩；考虑，照顾；付款
respektvoll,恭敬的，毕恭毕敬的
restaurieren,修补，修复，复原；恢复，使康复
